n,operation,median_ms,p95_ms,p99_ms,samples,state_size_bytes
16,export_group_info,0.377700,0.611400,0.636300,20,83639
16,external_join,1.283900,1.415100,1.614900,20,83639
16,merge_external_commit,0.832600,0.869600,0.966100,20,83639
64,export_group_info,1.179500,1.588400,2.184200,20,249810
64,external_join,4.067200,4.533900,4.629100,20,249810
64,merge_external_commit,2.067900,2.482800,3.242800,20,249810
128,export_group_info,2.476700,3.626200,4.405200,20,584419
128,external_join,7.642700,8.169300,8.928900,20,584419
128,merge_external_commit,4.628600,5.076600,5.458000,20,584419
256,export_group_info,5.852100,7.260700,7.949900,20,1556156
256,external_join,21.760100,23.309500,24.155800,20,1556156
256,merge_external_commit,21.386300,26.864100,27.835000,20,1556156
512,export_group_info,21.591600,35.272300,39.730300,20,3658958
512,external_join,30.330900,34.024600,34.288500,20,3658958
512,merge_external_commit,23.374900,52.595100,58.244300,20,3658958
1024,export_group_info,69.776500,90.465500,94.904500,20,7835105
1024,external_join,126.570700,147.491500,164.605000,20,7835105
1024,merge_external_commit,60.423200,119.716200,123.084700,20,7835105
